[|1]: Project-Id-Version: MIUI Watch\nLast-Translator: Automatically generated\nLanguage-Team: none\nLanguage: zh_CN\nMIME-Version: 1.0\nContent-Type: text/plain; charset=UTF-8\nContent-Transfer-Encoding: 8bit\n
[%.*fcnt/min.sport|2]: %.*f次/分|%.*f次/分
[input_new_pwd.settings|1]: 输入新密码
[input_pwd.settings|1]: 输入当前密码
[input_pwd_num.settings|1]: 输入密码
[inte_reach.act|1]: 中高强度目标达成
[intel_prediction.wm|1]: 智能预测
[intelligence.settings|1]: 智能开启
[intelligence_28.settings|1]: 智能开启
[intelligent.hr|1]: 智能监测
[intensity|1]: 活动时长
[intensity.act|1]: 中高强度活动
[intensity.explain|1]: 运动时当心率达到最大心率的65%或步频达到100次/min，将被记录为中高强度活动时长。每天进行30-60min（每周至少150min）的中等强度运动，或每天进行20-60min（每周至少75min）的较大强度运动，可有效改善健康状态。
[intensity_title.explain|1]: 中高强度活动
[intensity_unit.common|2]: 分钟|分钟
[intensive.common|1]: 燃脂
[inter_training_name.sport|1]: 间歇训练
[interval_train_confirm.sport|1]: 您已设置运动目标，开启间歇训练目标设置将关闭，确认开启间歇训练？
[interval_training.sport|1]: 间歇训练
[interval_training_warmup.sport|1]: 热身
[introduce_reminder_distance.sport|1]: 运动时，每间隔特定距离发出提醒。
[introduce_reminder_hrzone.sport|1]: 心率位于、接近或超过目标区间时，进行提醒。
[introduce_reminder_pace.sport|1]: 持续低于或高于预设配速时，进行提醒。
[introduce_reminder_speed.sport|1]: 持续低于或高于预设速度时，进行提醒。
[issue.nfc|1]: 设备开卡中...
[jazz.sport|1]: 爵士舞
[jog.sport|1]: 慢跑
[judo.sport|1]: 柔道
[jujitsu.sport|1]: 柔术
[jump.sport|1]: 跳过
[just.common|1]: 刚刚
[just.health|1]: 刚刚
[just_now.pressure|1]: 刚刚
[jz_lunar.calendar|1]: 惊蛰
[karate.sport|1]: 空手道
[kayak_rafting.sport|1]: 皮艇漂流
[keep.bp|1]: 测量中请保持静止
[keep.ecg|1]: 请保持静止
[keep.hr|1]: 请保持静止
[keep_on.sport|1]: 继续运动
[keep_waiting.sport|1]: 继续等待
[key_wrong.system|1]: 密钥错误
[kite_surfing.sport|1]: 风筝冲浪
[km/hr.sport|1]: 公里/小时
[km_h.sport|1]: 千米/时
[km_per_hr.sport|1]: 公里/小时
[know.act|1]: 知道了
[know.common|1]: 知道了
[know.find_phone|1]: 知道了
[know.ota|1]: 知道了
[know.phone|1]: 知道了
[know.reminder|1]: 知道了
[know.setupwizard|1]: 知道了
[know.sport|1]: 知道了
[know.vitality|1]: 知道了
[know.wm|1]: 知道了
[kpa.bp|1]: 千帕斯卡
[later.alarm|1]: 稍后
[latin_dance.sport|1]: 拉丁舞
[layout.settings|1]: 应用布局
[layout_grid.settings|1]: 多列布局
[layout_list.settings|1]: 列表布局
[layout_title.settings|1]: 应用布局
[lb_festival.calendar|1]: 腊八节
[lc_lunar.calendar|1]: 立春
[lcd_sign.check_tool|1]: 判断以下界面是否存在暗点、异色等异常并点击屏幕弹出方框
[lcd_test.check_tool|1]: 屏幕检测(10/14)
[ld_lunar.calendar|1]: 立冬
[left.ecg|1]: 左手佩戴
[leisure_sports.sport|1]: 休闲运动
[let_start.breath|1]: 我们开始吧
[level1.training|1]: 新手
[level2.training|1]: 入门
[level3.training|1]: 一般
[level4.training|1]: 中等
[level5.training|1]: 良好
[level6.training|1]: 优秀
[level7.training|1]: 超群
[level_dsc.training|1]: 级别
[light.common|1]: 热身
[light.sleep|1]: 浅睡
[light_scrren.settings|1]: 通知亮屏
[light_scrren_toast.settings|1]: 设备接收消息时自动亮屏。
[light_test.check_tool|1]: 光感检测(7/14)
[light_test_sign.check_tool|1]: 请遮挡屏幕继续\n测试
[light_value.check_tool|1]: 光感值:
[limit_interval.sport|1]: 极限区间
[list_name.oxygen|1]: 血氧
[listening.alexa|1]: Listening…
[load.sport|1]: 加载中...
[load.training|1]: 训练负荷
[load_explain.training|1]: 设备会根据你各次运动的训练冲量（TRIMP）情况来计算出相应的训练负荷分数，以便评估你的运动量。你可以通过分数所在区间建议来调整自己接下来的运动安排。
[load_explain_more.training|1]: （关于训练负荷的更多说明请在APP的帮助中查看）
[lock_over.settings|1]: 收不到消息通知,\n请在小米运动健康App-消息通知中查看开关状态或解决办法。
[lock_screen_notice.settings|1]: 仅手机锁屏时通知
[lock_screen_notice_toast.settings|1]: 当使用手机时，手环上不会收到来自手机的消息通知。
[loding.mihome|1]: 加载中，请稍候
[login_wx.wxpay|1]: 登录微信
[login_wx_tips.wxpay|1]: 微信支付已经升级为微信App，请重新登录微信账号开启支付功能。
[long.sleep|1]: 长睡眠
[long_endurance_info.settings|1]: 省电模式开启后仅保留时间、计步、NFC功能。长按屏幕或充电可退出此功能。确定开启？
[long_press_stop.sport|1]: 长按结束运动
[longpress.settings|1]: 长按表盘
[longpress_lab.settings|1]: 开启后，长按编辑即可进入表盘编辑。
[look_exp.bp|1]: 查看测量说明
[low.hr|1]: 过低心率
[low_balance.nfc|1]: 余额低请充值
[low_battery.bp|1]: 电量不足
[low_battery_exp.bp|1]: 当前无法进行血压测量，请充电至5%以上后重试。
[low_btn.oxygen|1]: 过低血氧
[low_exp1.oxygen|1]: 当连续三次检测到您的血氧饱和度低于设定的提醒值，会提醒您留意当前健康状况并记录该段数据。
[low_exp2.oxygen|1]: 设备端只展示最近三段过低血氧数据，更多请至App端查看。
[low_exp3.oxygen|1]: 如果您同时出现呼吸急促、头疼疲乏、注意力降低等情况，建议寻求专业的医务人员帮助。
[low_exp4.oxygen|1]: 请注意本设备测量范围为75%-100%，本品非医疗器械，结果仅供参考，不作为诊断治疗依据。
[low_exp_title.oxygen|1]: 过低血氧
[low_remind.oxygen|1]: 血氧过低
[low_title.oxygen|1]: 过低血氧
[low_waring.oxygen|1]: 低血氧提醒
[low_waring1.oxygen|1]: 开启后，在非睡眠状态下，检测到血氧饱和度在一定时间内低于设定值时设备上出现提醒通知。
[low_warning.hr|1]: 低心率提醒
[low_warning1.hr|1]: 开启后，监测到安静状态下心率低于设置的心率值时进行提醒。
[lowbattery_10.reminder|1]: 电量低于10%
[lowbattery_20.reminder|1]: 电量低于20%
[lowbattery_5.reminder|1]: 电量低于5%
[lowbattery_5_btn_tip.reminder|1]: 去开启
[lowbattery_5_tip.reminder|1]: 是否开启省电模式，延长续航？
[lowbattery_title.reminder|1]: 电量低
[lower_limb_training.sport|1]: 下肢训练
[lowexp.hr|1]: 过低心率说明
[lowexp1.hr|1]: 设备持续监测心率，\n发现在安静状态时心\n率持续低于设定值，\n将被记录为心率过\n低。常见于正常人睡\n眠中、体力活动较多\n的人。若同时出现心\n慌、胸闷、头晕等症\n状，请及时向医疗机\n构咨询。
[lowexp2.hr|1]: 本产品非医疗器械，\n旨在帮助您了解心脏\n健康，所提供的记录\n仅供参考，不作为诊\n断和治疗依据。
[lowexp3.hr|1]: 设备端只展示最近三\n段过低心率数据，更\n多请至App端查看。
[lowtime.vitality|1]: 较低强度
[lp.bp|1]: 低压
[lq_lunar.calendar|1]: 立秋
[ltd_festival.calendar|1]: 龙抬头
[lx_lunar.calendar|1]: 立夏
[mac.common|1]: 蓝牙地址
[mac.settings|1]: 蓝牙地址
[mac.system|1]: 蓝牙地址
[made_in_China.settings|1]: 中国制造
[many_messages.notify|1]: 99+条未读消息
[mark_end.wm|1]: 标记结束
[mark_start.wm|1]: 标记开始
[martial_arts.sport|1]: 武术
[max_add.worldclock|1]: 最多只能添加20个城市
[max_oxygen.training|1]: 最大摄氧量
[max_record.bp|1]: 最多显示最近60条数据，更多请到app端查看。
[maximum_oxygen_uptake.sport|1]: 最大摄氧量
[maxofalarm.alarm|1]: 最多只能添加十个闹钟
[measure.health|1]: 测量说明
[measure1.health|1]: 将设备佩戴至腕骨一指距离
[measure2.health|1]: 偏紧佩戴，测量期间保持静止
[measure3.health|1]: 皮肤特征、毛发、低温等因素可能会影响测量效果。
[measure3_1.health|1]: 请屏幕朝上，偏紧佩戴，保持静止
[measure4.health|1]: 结果仅供参考，不作为医疗用途。
[measure6.health|1]: 本品非医疗器械，结果仅供参考，不作为诊断治疗依据。
[measure_e1.bp|1]: 扫码查看详细指导
[measure_e1.ecg|1]: 1. 将设备佩戴至腕骨一指距离，偏紧佩戴。
[measure_e10.bp|1]: 测量结果仅供参考，不作为医疗诊断依据。
[measure_e2.bp|1]: 腕围测量
[measure_e2.ecg|1]: 2. 手臂平放桌面并保持静止，保持手指放在下按键30秒，勿用力挤压下按键。
[measure_e3.bp|1]: 测量前，建议根据图示用标尺测量腕围，按照标尺箭头所指刻度佩戴手表。 
[measure_e3.ecg|1]: 3. 如果皮肤干燥，可能测量失败，可用少量水擦拭手指。
[measure_e4.bp|1]: 表带和气囊选择 
[measure_e5.bp|1]: 根据腕围测量结果，选择适用的表带和气囊，并按照对应刻度佩戴。
[measure_e6.bp|1]: 测量姿势 
[measure_e7.bp|1]: 建议每次测量都将手表固定佩戴同一侧手腕。测量过程中，建议按照提示保持正确姿势。
[measure_e8.bp|1]: 注意事项
[measure_e9.bp|1]: 测量前建议至少休息5分钟以上，连续测量时请至少间隔1-2分钟。 \n\n设备佩戴避开腕骨，切勿过松或过紧。 \n\n测量时保持安静，注意手表佩戴与心脏平齐，不要压迫胸口。避免说话、移动手指或活动手指。
[measure_fail.health|1]: 测量失败
[measure_hint.bp|1]: 保持手表佩戴与心脏平齐，勿压迫胸口。
[measure_keep.health|1]: 测量中，请保持静止
[measure_record.bp|1]: 测量记录
[measure_result.health|1]: 测量结果
[measuring.health|1]: 测量中
[measuring.hr|1]: 正在测量
[measuring.oxygen|1]: 测量中
[medical_num.health|1]: 医疗器械注册证编号
[medium.pressure|1]: 中度
[medley.sport|1]: 混合泳
[menstru1%d%dmenstru2.wm|1]: 您下个经期将于%1$d月%2$d日开始
[menstruation.wm|1]: 经期
[menstruation_in%d.wm|2]: 经期第%d天|经期第%d天
[message.settings|1]: 消息通知
[metronome.sport|1]: 节拍器
[mi_home.mihome|1]: 米家
[micompany.settings|1]: 小米通讯技术有限公司
[middletime.vitality|1]: 中等强度
[miit_fat_burning_run.sport|1]: MIIT燃脂跑
[miit_fat_burning_run_dsc.sport|1]: 中强度间歇燃脂的跑步训练，慢跑、中速跑的交替循环，提高燃脂效率。
[mild.pressure|1]: 轻度
[mild_zone.pressure|1]: 轻度
[min.common|1]: 分
[min.sport|1]: 分
[min.tomatotimer|1]: 分钟
[min_allday.sleep|2]: 分钟|分钟
[minute%d.breath|1]: %d分钟
[minute.breath|1]: 分钟
[minute.sleep|2]: 分|分
[misansw_demibold.100|1]: NA
[misansw_demibold.120|1]: NA
[misansw_demibold.18|1]: NA
[misansw_demibold.20|1]: NA
[misansw_demibold.24|1]: NA
[misansw_demibold.26|1]: NA
[misansw_demibold.30|1]: NA
[misansw_demibold.32|1]: NA
[misansw_demibold.34|1]: NA
[misansw_demibold.36|1]: NA
[misansw_demibold.40|1]: NA
[misansw_demibold.44|1]: NA
[misansw_demibold.48|1]: NA
[misansw_demibold.54|1]: NA
[misansw_demibold.56|1]: NA
[misansw_demibold.60|1]: NA
[misansw_demibold.64|1]: NA
[misansw_demibold.68|1]: NA
[misansw_demibold.70|1]: NA
[misansw_demibold.72|1]: NA
[misansw_demibold.80|1]: NA
[misansw_demibold.84|1]: NA
[misansw_demibold.86|1]: NA
[misansw_demibold.90|1]: NA
[misansw_medium.20|1]: NA
[misansw_medium.24|1]: NA
[misansw_medium.26|1]: NA
[misansw_medium.28|1]: NA
[misansw_medium.30|1]: NA
[misansw_medium.32|1]: NA
[misansw_medium.34|1]: NA
[misansw_medium.36|1]: NA
[misansw_medium.40|1]: NA
[misansw_medium.44|1]: NA
[misansw_medium.48|1]: NA
[misansw_medium.60|1]: NA
[misansw_medium.64|1]: NA
[misansw_medium.70|1]: NA
[misansw_regular.20|1]: NA
[misansw_regular.24|1]: NA
[misansw_regular.26|1]: NA
[misansw_regular.28|1]: NA
[misansw_regular.30|1]: NA
[misansw_regular.32|1]: NA
[misansw_regular.34|1]: NA
[misansw_regular.36|1]: NA
[misansw_regular.40|1]: NA
[misansw_regular.48|1]: NA
[missed.phone|1]: 未接来电
[miui_nodata.todo|1]: 可通过小爱语音创建，请确认蓝牙连接且App端待办同步开关已开\n启。
[miwatch8.common|1]: 小米手环8 Pro
[mixed_aerobic.sport|1]: 混合有氧
[mmhg.bp|1]: 毫米汞柱
[mode_title.settings|1]: 省电模式
[moderate.pressure|1]: 中度
[moderate_running.sport|1]: 中速跑
[moderate_zone.pressure|1]: 中度
[modern_dance.sport|1]: 现代舞
[mon_to_fri.todo|1]: 周一至周五
[monitor.hr|1]: 全天心率监测
[monitor.oxygen|1]: 全天血氧\n监测
[monitor.pressure|1]: 全天压力\n监测
[monitor_box.oxygen|1]: 开启后，检测到持续处于安静状态\n时，手环将自动测量血氧饱和度，续航时间将会严重减少。
[monitor_btn.sleep|1]: 睡眠高精度监测
[monitor_content.hr|1]: 按照设定频率自动测\n量，记录全天心率
[monitor_health.hr|1]: 心脏健康监测
[monitor_ill.pressure|1]: 开启后，检测到持续处于安静状态\n时，手环将自动测量压力值，续航时间将会严重减少。
[monitor_ill.sleep|1]: 开启睡眠高精度监测将严重降低续航时长，仍开启？
[monitor_sub_exp.sleep|1]: 开启后，可以跟踪睡眠的快速眼动期（REM）分布。
[montor_must.temp|1]: 测量须知
[more_add.worldclock|1]: 更多城市\n请通过App添加
[more_cities.weather|1]: 更多城市
[more_sport.sport|1]: 更多运动
[motion.settings|1]: 运动识别
[motion_disturb.settings|1]: 勿扰模式下运动识别不可用
[motion_info.settings|1]: 开启后，手环将在检测到你正在运动时发出提醒。\n支持的运动包括：健\n走、跑步、骑行、划船机、椭圆机、跳绳。
[motion_reminder.settings|1]: 开启运动识别功能会大幅减少设备续航时间。
[motion_sensing_game.sport|1]: 体感游戏
[motion_title.settings|1]: 运动识别
[motor_sign.check_tool|1]: 判断振动次数:
[motor_test.check_tool|1]: 振动检测(11/14)
[motorboat.sport|1]: 摩托艇
[move_text.bp|1]: 测量过程中身体未保持静止，结果可能不准。
[move_title.bp|1]: 身体未静止
[muay_thai.sport|1]: 泰拳
[multi_connect.share|1]: 连接双设备
[musicController|1]: 音乐控制
[mute.appname|1]: 手机静音
[mute_mode.mute|1]: 静音模式
[mute_title.mute|1]: 手机静音
[mute_toast.mute|1]: 铃声已开启
[my_family.mihome|1]: 我的家庭
[mz_lunar.calendar|1]: 芒种
[name.alipay|1]: 支付宝
[name.ecg|1]: 心电图
[name.find_phone|1]: 找手机
[name.timer|1]: 倒计时
[name.tomatotimer|1]: 番茄钟
[name.worldclock|1]: 世界时钟
[name_calorie.sport|1]: 卡路里
[name_distance.sport|1]: 距离
[name_duration.sport|1]: 时长
[name_hr_avg.sport|1]: 平均心率
[name_hr_max.sport|1]: 最高心率
[name_hr_zone.sport|1]: 心率区间
[name_info.tomatotimer|1]: 番茄钟
[name_main.tomatotimer|1]: 番茄钟
[name_num_cycle.sport|1]: 循环组数
[name_number.sport|1]: 个数
[name_pace.sport|1]: 配速
[name_speed.sport|1]: 速度
[name_times.sport|1]: 次数
[name_title.tomatotimer|1]: 番茄钟
[name_title.worldclock|1]: 世界时钟
[name_trips.sport|1]: 趟数
[national_dance.sport|1]: 民族舞
[near_reader.nfc|1]: 贴近刷卡机刷卡
[network_error_content.alexa|1]: Check your network connection and try again later.
[network_error_title.alexa|1]: Network error
[new_record.sport|1]: 新纪录
[newest.ota|1]: 设备已更新至最新版本
[next_easypregnancy.wm|1]: 下个易孕期
[next_group.sport|1]: 下一组
[next_item.sport|1]: 换项
[next_menstruation.wm|1]: 下个经期
[next_ovulation.wm|1]: 下个排卵日
[next_seg_name.sport%s|1]: 下一项：%s
[nextday.settings|1]: 次日%02d:%02d
[nextstep.settings|1]: 下一步
[nfc1_test.check_tool|1]: NFC检测(13/14)
[nfc2_test.check_tool|1]: NFC检测(14/14)
[nfc_read.check_tool|1]: 靠近读空白卡
[nfc_sign.check_tool|1]: 请靠近读卡器测试
[nfc_simulate.check_tool|1]: 模拟卡测试
[no_add.worldclock|1]: 未添加城市
[no_card.nfc|1]: 暂无卡片，请在小米运动健康App添加
[no_connectable_devices.sport|1]: 无可连接设备
[no_data.calendar|1]: 无日程数据
[no_data.common|1]: 暂无数据
[no_data.pressure|1]: 今日暂无数据
[no_data.wm|1]: 暂无数据
[no_device_conn.common|1]: 无可连接设备
[no_enabled.wm|1]: App功能未启用
[no_message.notify|1]: 暂无消息
[no_permission.media|1]: 未开启权限
[no_record.wm|1]: 请在App上开启智能预测
[no_record_today.wm|1]: 今日无记录
[no_remind.oxygen|1]: 不提醒
[no_reminder_today.common|1]: 今日不再提醒
[no_setting.mihome|1]: 暂无设定
[no_target.sport|1]: 无目标
[no_title.calendar|1]: 无标题
[no_try_again.settings|1]: 未识别到正确手势，请重试！
[noai_nodata.todo|1]: 可在App端待办功能内添加，请确认蓝牙已连接。
[nodata.hr|1]: 今日暂无数据
[nodata.oxygen|1]: 今日暂无数据
[nodata.sleep|1]: 无睡眠记录，请佩戴入睡
[nodata.todo|1]: 无待办提醒
[nodata.weather|1]: 正在获取天气数据
[nodata.wm|1]: 请在App上设置\n生理周期基本信息
[noinit_tips.calendar|1]: 请在App端开启同步手机日程
[noise_reduction.share|1]: 降噪
[nonedata.weather|1]: 无天气数据
[noplay.share|1]: 未播放音频
[noreminder.vitality|1]: 今日不再提醒
[nosync.wm|1]: 未同步App数据
[not_disturb_close.ctrl|1]: 勿扰模式已关闭
[not_disturb_open.ctrl|1]: 勿扰模式已开启
[not_disturb_open.settings|1]: 勿扰模式已开启
[not_enabled.wxpay|1]: 未开启
[not_install.bp|1]: 未正确安装气囊
[not_install_exp.bp|1]: 未安装气囊，请及时检查以免进水损坏设备。
[not_measure.bp|1]: 暂不测量
[not_play.media|1]: 手机未播放音乐
[not_remind.sport|1]: 不再提醒
[not_reminder.reminder|1]: 不再提示
[not_shake.health|1]: 尽量不要晃动
[not_support.aivs|1]: 文字内容超出上限，小爱暂不支持该功能
[not_support_area_content.alexa|1]: Sorry, Amazon Alexa isn't supported in your region.
[not_support_area_title.alexa|1]: Not supported
[not_support_playback.alexa|1]: This device doesn't support audio and video playback
[not_worn.hr|1]: 未佩戴
[notice.notify|1]: 通知
[notice_message.settings|1]: 消息通知
[notice_text1.tomatotimer|1]: 番茄钟以短时间高度专注投入工作学习为目\n标，激发工作学习的效率。
[notice_text2.tomatotimer|1]: 番茄钟通常以25分钟为一个周期，开始后需要全身心的投入到工作或者学习中，直到手表振动提醒你，即可停止进入休息5分钟。
[notice_text3.tomatotimer|1]: 建议每4个番茄钟结束后，进行一轮15~20分钟的长休息。
[notify.notify|1]: 消息
[notopen_password.wxpay|1]: 暂不开启
[now.bp|1]: 刚刚更新
[now.common|1]: 现在
[now_measure.bp|1]: 现在测量
[now_measure.ecg|1]: 前往测量
[null.settings|1]: 无
[null_28.settings|1]: 无
[number_group.sport|1]: 本组个数
[nums_rope_all_group.sport|1]: 总计数
[nums_rope_group.sport|1]: 本组计数
[nums_rowing_all_group.sport|1]: 总计数
[nums_rowing_group.sport|1]: 本组计数
[off.sleep|1]: 关闭
[offbody.health|1]: 请正确佩戴手环后\n重试
[ok.alipay|1]: 绑定成功
[ok.health|1]: 好的
[ok.pressure|1]: 好的
[ok.wxpay|1]: 知道了
[on.sleep|1]: 开启
[once.alarm|1]: 仅一次
[once.todo|1]: 仅一次
[onemin.hr|1]: 1分钟一次
[open.alipay|1]: 同意
[open_1hour.ctrl|1]: 勿扰打开1小时
[open_1hour.settings|1]: 开启1小时
[open_4hour.ctrl|1]: 勿扰打开4小时
[open_4hour.settings|1]: 开启4小时
[open_all_day.settings|1]: 全天开启
[open_from_phone.notify|1]: 手机上打开
[open_mi.mihome|1]: 请打开米家App设定场景执行指令或检查下该小米账号是否有场景执行指令
[open_password.wxpay|1]: 去开启
[open_ring.mute|1]: 关闭中
[open_ring_ing.mute|1]: 开启铃声
[open_widget.wxpay|1]: 开启微信支付
[open_widget_btn.wxpay|1]: 开启
[opening.alipay|1]: 绑定中...
[openswitch.alarm|1]: 已开启
[optimization.settings|1]: 续航优化
[optimization_content.settings|1]: 仅统计严重影响续航功能，根据当前状态显示。
[os_ver.common|1]: 手环系统
[other_nodata.todo|1]: 可通过小爱语音创建或App端待办功能内添\n加，请确认蓝牙已连\n接。
[other_sports.sport|1]: 其他运动
[others.share|1]: 其他
[others_allow_or_no.temp|1]: 可能受到环境变化、高功耗应用、佩戴过松、手表沾水等影响，建议稍后测量。
[outdoor_skating.sport|1]: 户外滑冰
[outdoor_sports.sport|1]: 户外运动
[ovula1%d%dovula2.wm|1]: 您下个排卵日预计是%1$d月%2$d日
[ovulation_day.wm|1]: 排卵日
[oxygen|1]: 血氧饱和度
[oxygen.common|1]: 血氧
[oxygen_explain1.training|1]: 最大摄氧量(VO2max)是指人体在进行最大强度的运动时所能摄入的氧气含量，是反映人体有氧运动能力的重要指标。作为耐力运动员重要参数数据之一，高水平最大摄氧量是高水平有氧运动能力的基础。
[oxygen_explain2.training|1]: 最大摄氧量相对个人\n化，不同性别和年龄段会有不同的参考标准。设备会根据你的个人信息、运动时产生的心率和速度等数据来评价你的运动能力，并会随着你的运动能力的变化而改变。当然每个人都会有其自身最大摄氧量的上限，这是由个人身体决定的。
[pace_for_the_first_kilometer.sport|1]: 前一公里配速
[pace_remind.sport|1]: 配速提醒
[paddle_board.sport|1]: 桨板
[pair_desc.setupwizard|1]: 配对说明
[pair_sign.setupwizard|1]: 请在手机下载小米运动健康App以连接设备
[pairing.phone|1]: 发送中...
[pairing.setupwizard|1]: 配对中...
[paraglider.sport|1]: 滑翔伞
[parallel_bars.sport|1]: 双杠
[parkour.sport|1]: 跑酷
[partical_cal.sport|1]: 实际卡路里
[partical_numbe.sport|1]: 实际个数
[partical_times.sport|1]: 实际次数
[past_widget.vitality|1]: 累计
[pause.common|1]: 暂停
[pause.sport|1]: 暂停
[pause.tomatotimer|1]: 已暂停
[pause_hint.sport|1]: 已暂停
[pay.nfc|1]: 付款
[pay_finish.nfc|1]: 支付完成
[pay_widget.wxpay|1]: 使用微信支付，向商家付款
[pay_widget_btn.wxpay|1]: 展示付款码
[paycode.alipay|1]: 付款码
[per_minute.sport|1]: 个/分
[period1%d%dperiod2.wm|1]: 您下个易孕期将于%1$d月%2$d日开始
[permission_tip.media|1]: 请在系统设置中开启小米健康通知使用权限
[phone.appname|1]: 电话
[phonebind.alipay|1]: 使用支付宝扫码绑定
[photograph|1]: 遥控拍照
[physical_training.sport|1]: 体能训练
[pick_sport.home|1]: 选择运动
[pick_widget.home|1]: 选择组件
[pilates.sport|1]: 普拉提
[pingpong.sport|1]: 乒乓球
[play_tip.media|1]: 检查手机是否已播放音乐，APP已开启通知权限
[please_act.act|1]: 站立
[plus%dhour.worldclock|2]: +%d小时|+%d小时
[pm.common|1]: 下午
[pm_t.alarm|1]: PM
[pm_t.calendar|1]: PM
[pm_t.todo|1]: PM
[pole_dance.sport|1]: 钢管舞
[pool_length.sport|1]: 泳池长度
[position.wf|1]: 位置
[posture_text.bp|1]: 未按照标准姿势测量，结果可能不准。
[posture_title.bp|1]: 姿势不正确
[power_saving.settings|1]: 正在退出省电模式
[power_toast_mode.settings|1]: 开启后仅保留时间、计步、NFC功能。长按屏幕或充电可退出。
[ppg_result.check_tool|1]: PD接收器值:
[ppg_test.check_tool|1]: 心率血氧检测(5/14)
[pratical_distance.sport|1]: 实际距离
[pratical_duration.sport|1]: 实际时长
[pratical_trips.sport|1]: 实际趟数
[pre_menstruation_in%d.wm|2]: 预测经期第%d天|预测经期第%d天
[pre_menstruation_out%d.wm|2]: %d天后预测经期|%d天后预测经期
[predicta_menstruation.wm|1]: 预测经期
[prefer.settings|1]: 使用偏好
[prefer_title.settings|1]: 使用偏好
[prepare_sleep.reminder|1]: 准备睡觉了
[pressure|1]: 压力
[pressure_high.pressure|1]: 压力过高
[procedure.sport|1]: 课程构成
[product_name.health|1]: 产品名称
[production_num.health|1]: 生产许可证编号
[progress.vitality|1]: 近7日达标进度
[projection.sport|1]: 数据投屏
[projection_no_device.sport|1]: 请检查手机与电视的连接状态
[puck.sport|1]: 冰球
[pulse.bp|1]: 脉搏
[pwd.settings|1]: 设备密码
[pwd_close.settings|1]: 关闭密码
[pwd_closed.settings|1]: 密码已关闭
[pwd_closed.system|1]: 密码已关闭
[pwd_err.common|1]: 密码错误
[pwd_modify.settings|1]: 修改密码
[pwd_open.settings|1]: 开启密码
[pwd_set_again.settings|1]: 再输入一次
[pwd_set_ok.settings|1]: 密码设置成功
[pwd_timeout.nfc|1]: 距离上次输入密码已超过24小时，为了您的用卡安全，请重新输入脱腕密码
[pwd_title.settings|1]: 设备密码
[pwd_wrong.settings|1]: 密码不一致，请重新输入
[qf_lunar.calendar|1]: 秋分
[qm_lunar.calendar|1]: 清明
[quality_box.sleep|1]: 开启睡眠呼吸质量监测将严重降低续航时长，仍开启？
[quiet_mode_off.system|1]: 勿扰模式已关闭
[qx_festival.calendar|1]: 七夕节
[racing_car.sport|1]: 赛车
[raise_bright_close.ctrl|1]: 抬腕亮屏已关闭
[raise_bright_open.ctrl|1]: 抬腕亮屏已开启
[rb.hr|1]: 检测到您在该时段出现心脏异常搏动，请留意健康状况。
[reach_1.act|1]: 活力指标达成
[reach_2.act|1]: 活力满满
[read_card.nfc|1]: 读卡中...
[read_card_oncharging.nfc|1]: 充电中暂不支持模拟门卡
[ready.ota|1]: 将在今天晚些时间或充电时自动安装设备更新
[rebind.alipay|1]: 解绑后手环支付功能不可用，确定解绑？
[receiving.ota|1]: 接收中...
[receiving_fail.ota|1]: 接收中断
[receiving_success.ota|1]: 接收成功
[record.bp|1]: 测量记录
[record_file.check_tool|1]: 录音文件
[record_start.check_tool|1]: 开始录音
[record_test.check_tool|1]: 音频检测(8/14)
[recording.check_tool|1]: 录音中
[recovery_dsc1.training|1]: 你已完成恢复或接近完全恢复，可以适当增加训练强度。
[recovery_dsc2.training|1]: 你的身体即将恢复，可以按照日程强度进行训练。
[recovery_dsc3.training|1]: 适当降低训练强度可以帮助你获得更好的训练效果。
[recovery_dsc4.training|1]: 你的身体需要较长时间进行恢复，建议适当休息。
[recovery_duration.sport|1]: 恢复时长(小时)
[ref_check.share|1]: 请检查设备是否连接
[ref_err.share|1]: 投射失败
[regulation.common|1]: 监管信息
[regulation.settings|1]: 监管信息
[regulation_title.settings|1]: 监管信息
[relax.breath|1]: 身体放松
[relax.pressure|1]: 放松
[relax.sport|1]: 放松
[relax_remind.pressure|1]: 放松提醒
[relax_remind_ill.pressure|1]: 开启后，在非睡眠状态下，检测到压力值在一定时间内高于80时设备上出现提醒通知。
[relax_zone.pressure|1]: 放松
[relaxed_time.sport|1]: 已放松时长
[rem.sleep|1]: REM
[remain_distance_group.sport|1]: 剩余(km)
[remain_distance_group_imp.sport|1]: 剩余(mile)
[remain_duration_group.sport|1]: 剩余时长
[remain_duration_segment.sport|1]: 剩余时间
[remain_number_group.sport|1]: 剩余个数
[remain_times_group.sport|1]: 剩余次数
[remain_trips_group.sport|1]: 剩余趟数
[remind.alarm|1]: 智能唤醒
[remind_high.hr|1]: 心率过高
[remind_low.hr|1]: 心率过低
[remind_menstruation.wm|1]: 经期提醒
[remind_ovulation.wm|1]: 排卵日提醒
[remind_period.wm|1]: 易孕期提醒
[reminder.bp|1]: 血压测量提醒
[reminder.ecg|1]: 心电图测量提醒
[reminder.ota|1]: 升级提醒
[reminder.sport|1]: 运动提醒
[reminder_deleted.alexa|1]: Reminder deleted
[reminder_exp.bp|1]: 已到血压测量时间。
[reminder_exp.ecg|1]: 已到心电图测量时间。
